,0,1,2,3,4,5,6
243,2021-05-01 17:31:31,重庆,酉阳县,1,0,1,0
244,2021-05-01 17:31:31,重庆,璧山区,9,0,9,0
245,2021-05-01 17:31:31,重庆,高新区,4,0,4,0
246,2021-05-01 17:31:31,重庆,永川区,5,0,5,0
247,2021-05-01 17:31:31,重庆,江津区,4,0,4,0
248,2021-05-01 17:31:31,重庆,武隆区,1,0,1,0
249,2021-05-01 17:31:31,重庆,梁平区,4,0,4,0
250,2021-05-01 17:31:31,重庆,城口县,2,0,2,0
251,2021-05-01 17:31:31,重庆,黔江区,2,0,2,0
252,2021-05-01 17:31:31,重庆,秀山县,1,0,1,0
253,2021-05-01 17:31:31,山东,境外输入,98,0,95,0
254,2021-05-01 17:31:31,山东,潍坊,44,0,44,0
255,2021-05-01 17:31:31,山东,济宁,260,0,260,0
256,2021-05-01 17:31:31,山东,济南,47,0,47,0
257,2021-05-01 17:31:31,山东,威海,38,0,37,1
258,2021-05-01 17:31:31,山东,淄博,30,0,29,1
259,2021-05-01 17:31:31,山东,枣庄,24,0,24,0
260,2021-05-01 17:31:31,山东,烟台,47,0,47,0
261,2021-05-01 17:31:31,山东,青岛,80,0,79,1
262,2021-05-01 17:31:31,山东,泰安,35,0,33,2
263,2021-05-01 17:31:31,山东,日照,16,0,16,0
264,2021-05-01 17:31:31,山东,临沂,49,0,49,0
265,2021-05-01 17:31:31,山东,德州,37,0,35,2
266,2021-05-01 17:31:31,山东,聊城,38,0,38,0
267,2021-05-01 17:31:31,山东,滨州,15,0,15,0
268,2021-05-01 17:31:31,山东,菏泽,18,0,18,0
269,2021-05-01 17:31:31,河南,境外输入,39,0,36,0
270,2021-05-01 17:31:31,河南,许昌,39,0,38,1
271,2021-05-01 17:31:31,河南,地区待确认,0,0,0,0
272,2021-05-01 17:31:31,河南,周口,76,0,75,1
273,2021-05-01 17:31:31,河南,南阳,156,0,153,3
274,2021-05-01 17:31:31,河南,信阳,274,0,272,2
275,2021-05-01 17:31:31,河南,郑州,157,0,152,5
276,2021-05-01 17:31:31,河南,济源示范区,5,0,5,0
277,2021-05-01 17:31:31,河南,新乡,57,0,54,3
278,2021-05-01 17:31:31,河南,安阳,53,0,53,0
279,2021-05-01 17:31:31,河南,漯河,36,0,36,0
280,2021-05-01 17:31:31,河南,商丘,91,0,88,3
281,2021-05-01 17:31:31,河南,驻马店,139,0,139,0
282,2021-05-01 17:31:31,河南,焦作,32,0,31,1
283,2021-05-01 17:31:31,河南,开封,26,0,26,0
284,2021-05-01 17:31:31,河南,平顶山,58,0,57,1
285,2021-05-01 17:31:31,河南,洛阳,31,0,30,1
286,2021-05-01 17:31:31,河南,濮阳,17,0,17,0
287,2021-05-01 17:31:31,河南,鹤壁,19,0,19,0
288,2021-05-01 17:31:31,河南,三门峡,7,0,6,1
289,2021-05-01 17:31:31,广西,境外输入,18,1,15,0
290,2021-05-01 17:31:31,广西,桂林,32,0,32,0
291,2021-05-01 17:31:31,广西,北海,44,0,43,1
292,2021-05-01 17:31:31,广西,防城港,19,0,19,0
293,2021-05-01 17:31:31,广西,来宾,11,0,11,0
294,2021-05-01 17:31:31,广西,柳州,24,0,24,0
295,2021-05-01 17:31:31,广西,河池,28,0,27,1
296,2021-05-01 17:31:31,广西,南宁,56,0,56,0
297,2021-05-01 17:31:31,广西,玉林,11,0,11,0
298,2021-05-01 17:31:31,广西,钦州,8,0,8,0
299,2021-05-01 17:31:31,广西,贵港,8,0,8,0
300,2021-05-01 17:31:31,广西,梧州,5,0,5,0
301,2021-05-01 17:31:31,广西,百色,3,0,3,0
302,2021-05-01 17:31:31,广西,贺州,4,0,4,0
303,2021-05-01 17:31:31,湖南,境外输入,26,0,23,0
304,2021-05-01 17:31:31,湖南,张家界,5,0,5,0
305,2021-05-01 17:31:31,湖南,娄底,76,0,76,0
306,2021-05-01 17:31:31,湖南,怀化,40,0,40,0
307,2021-05-01 17:31:31,湖南,永州,44,0,44,0
308,2021-05-01 17:31:31,湖南,郴州,39,0,39,0
309,2021-05-01 17:31:31,湖南,益阳,60,0,60,0
310,2021-05-01 17:31:31,湖南,湘西自治州,8,0,8,0
311,2021-05-01 17:31:31,湖南,常德,82,0,82,0
312,2021-05-01 17:31:31,湖南,岳阳,156,0,155,1
313,2021-05-01 17:31:31,湖南,邵阳,102,0,101,1
314,2021-05-01 17:31:31,湖南,湘潭,36,0,36,0
315,2021-05-01 17:31:31,湖南,株洲,80,0,80,0
316,2021-05-01 17:31:31,湖南,衡阳,48,0,48,0
317,2021-05-01 17:31:31,湖南,长沙,242,0,240,2
